year,kind,system,page_number,chapter_code,chapter_name,class_code,amount_czk
2025,exp,exp_druhove,36,304,Úřad vlády České republiky,551,760000
2025,exp,exp_druhove,36,304,Úřad vlády České republiky,554,12000
2025,exp,exp_druhove,36,304,Úřad vlády České republiky,55,772000
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,53,400025583
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,549,15000
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,54,15000
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,551,135205000
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,553,87193775
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,554,1467568523
2025,exp,exp_druhove,36,306,Ministerstvo zahraničních věcí,55,1689967298
2025,exp,exp_druhove,36,307,Ministerstvo obrany,53,4393769582
2025,exp,exp_druhove,36,307,Ministerstvo obrany,541,9579823000
2025,exp,exp_druhove,36,307,Ministerstvo obrany,549,3801529716
2025,exp,exp_druhove,36,307,Ministerstvo obrany,54,13381352716
2025,exp,exp_druhove,36,307,Ministerstvo obrany,551,2930668050
2025,exp,exp_druhove,36,307,Ministerstvo obrany,553,3850000
2025,exp,exp_druhove,36,307,Ministerstvo obrany,55,2934518050
2025,exp,exp_druhove,36,308,Národní bezpečnostní úřad,53,1790825
2025,exp,exp_druhove,36,309,Kancelář veřejného ochránce práv a ochránce práv dětí,53,934098
2025,exp,exp_druhove,36,309,Kancelář veřejného ochránce práv a ochránce práv dětí,554,150000
2025,exp,exp_druhove,36,309,Kancelář veřejného ochránce práv a ochránce práv dětí,55,150000
2025,exp,exp_druhove,36,312,Ministerstvo financí,53,246680341
2025,exp,exp_druhove,36,312,Ministerstvo financí,541,1162583521
2025,exp,exp_druhove,36,312,Ministerstvo financí,549,32218400
2025,exp,exp_druhove,36,312,Ministerstvo financí,54,1194801921
2025,exp,exp_druhove,36,312,Ministerstvo financí,551,3270000
2025,exp,exp_druhove,36,312,Ministerstvo financí,554,1700000
2025,exp,exp_druhove,36,312,Ministerstvo financí,55,4970000
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,53,31261012173
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,541,882967879530
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,542,188950000
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,549,202488440
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,54,883359317970
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,551,430000
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,554,915000
2025,exp,exp_druhove,36,313,Ministerstvo práce a sociálních věcí,55,1345000
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,53,2104656191
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,541,19318665410
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,549,463817244
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,54,19782482654
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,551,3893900
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,553,100000000
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,554,10364000
2025,exp,exp_druhove,36,314,Ministerstvo vnitra,55,114257900
2025,exp,exp_druhove,36,315,Ministerstvo životního prostředí,53,1732383558
2025,exp,exp_druhove,36,315,Ministerstvo životního prostředí,549,38100000
2025,exp,exp_druhove,36,315,Ministerstvo životního prostředí,54,38100000
2025,exp,exp_druhove,36,315,Ministerstvo životního prostředí,551,180738923
2025,exp,exp_druhove,36,315,Ministerstvo životního prostředí,55,180738923
2025,exp,exp_druhove,36,317,Ministerstvo pro místní rozvoj,53,1095306201
2025,exp,exp_druhove,36,317,Ministerstvo pro místní rozvoj,551,6500000
